TIMESTAMP,2013-12-27_08:34~COMMON_USAGE_LOGIN_TO_FORUM~MAIN~THROUGHPUT~TPS,2013-12-27_08:34~UN*X~PHYSICAL_MEMORY~RAM~USED,2013-12-27_08:34~UN*X~SWAP_SPACE~SWAP~USED,2013-12-27_08:34~COMMON_USAGE_LOGIN_TO_FORUM~MAIN~RUNNING~VALUE,2013-12-27_08:34~COMMON_USAGE_LOGIN_TO_FORUM~MAIN~COMPLETED~PER_SECOND,2013-12-27_08:34~COMMON_USAGE_LOGIN_TO_FORUM~MAIN~DISCARDED~PER_SECOND,2013-12-27_08:34~UN*X~MAIN~CPU~USAGE_(%),2013-12-27_08:34~COMMON_USAGE_LOGIN_TO_FORUM~MAIN~SENT~PER_SECOND,2013-12-27_08:34~COMMON_USAGE_LOGIN_TO_FORUM~MAIN~TIME_TAKEN~AVERAGE,2013-12-27_08:34~COMMON_USAGE_LOGIN_TO_FORUM~MAIN~QUEUED~VALUE
00:01:11,10.0,216,0,0.574,10.0,,,10.0,58.4,0.0
00:01:12,10.0,216,0,0.59,10.0,,,10.0,45.09090909090909,0.0
00:01:13,10.0,216,0,0.434,10.0,,,10.0,50.5,0.0
00:01:14,10.0,216,0,0.52,10.0,,,10.0,,0.0
00:01:15,10.0,216,0,0.5,10.0,,,10.0,49.72727272727273,0.0
00:01:16,10.0,216,0,0.564,10.0,,,10.0,55.9,0.0
00:01:17,10.0,216,0,0.601,10.0,,,10.0,60.45454545454545,0.0
00:01:18,10.0,216,0,0.57,10.0,,,10.0,55.72727272727273,0.0
00:01:19,10.0,216,0,0.57,10.0,,,10.0,59.0,0.0
00:01:20,10.0,216,0,0.598,10.0,,,10.0,58.1,0.0
00:01:21,10.0,216,0,0.575,10.0,,,10.0,54.54545454545455,0.0
00:01:22,10.0,216,0,0.576,10.0,,,10.0,59.8,0.0
00:01:23,10.0,216,0,0.573,10.0,,,10.0,55.0,0.0
00:01:24,10.0,216,0,0.559,10.0,,,10.0,56.4,0.0
00:01:25,10.0,216,0,0.603,10.0,,,10.0,58.36363636363637,0.0
00:01:26,10.0,216,0,0.562,10.0,,,10.0,57.3,0.0
00:01:27,10.0,216,0,0.573,10.0,,,10.0,58.63636363636363,0.0
00:01:28,10.0,216,0,0.601,10.0,,,10.0,55.36363636363637,0.0
00:01:29,10.0,216,0,0.545,10.0,,,10.0,55.0,0.0
00:01:30,10.0,217,0,0.562,10.0,,,10.0,,0.0
00:01:31,10.0,217,0,0.592,10.0,,,10.0,59.0,0.0
00:01:32,10.0,217,0,0.568,10.0,,,10.0,56.3,0.0
00:01:33,10.0,217,0,0.566,10.0,,,10.0,55.36363636363637,0.0
00:01:34,10.0,217,0,0.59,10.0,,,10.0,59.7,0.0
00:01:35,10.0,217,0,0.557,10.0,,,10.0,54.63636363636363,0.0
00:01:36,10.0,217,0,0.555,10.0,,,10.0,57.0,0.0
00:01:37,10.0,217,0,0.629,10.0,,,10.0,60.45454545454545,0.0
00:01:38,10.0,217,0,0.559,10.0,,,10.0,55.0,0.0
00:01:39,10.0,217,0,0.57,10.0,,,10.0,58.3,0.0
00:01:40,10.0,217,0,0.601,10.0,,,10.0,63.6,0.0
00:01:41,10.0,217,0,0.608,10.0,,,10.0,55.18181818181818,0.0
00:01:42,10.0,217,0,0.572,10.0,,,10.0,56.18181818181818,0.0
00:01:43,10.0,217,0,0.544,10.0,,,10.0,53.81818181818182,0.0
00:01:44,10.0,217,0,0.571,10.0,,,10.0,55.54545454545455,0.0
00:01:45,10.0,217,0,0.537,10.0,,,10.0,57.1,0.0
00:01:46,10.0,217,0,0.575,10.0,,,10.0,54.8,0.0
00:01:47,10.0,217,0,0.573,10.0,,,10.0,60.0,0.0
00:01:48,10.0,217,0,0.592,10.0,,,10.0,55.3,0.0
00:01:49,10.0,217,0,0.559,10.0,,,10.0,53.72727272727273,0.0
00:01:50,10.0,217,0,0.548,10.0,,,10.0,54.8,0.0
00:01:51,10.0,217,0,0.592,10.0,,,10.0,,0.0
00:01:52,10.0,217,0,0.554,10.0,,,10.0,59.0,0.0
00:01:53,10.0,217,0,0.561,10.0,,,10.0,55.4,0.0
00:01:54,10.0,217,0,0.558,10.0,,,10.0,55.45454545454545,0.0
00:01:55,10.0,217,0,0.607,10.0,,,10.0,60.9,0.0
00:01:56,10.0,217,0,0.576,10.0,,,10.0,56.36363636363637,0.0
00:01:57,10.0,217,0,0.543,10.0,,,10.0,55.1,0.0
00:01:58,10.0,217,0,0.565,10.0,,,10.0,55.63636363636363,0.0
00:01:59,10.0,217,0,0.557,10.0,,,10.0,54.5,0.0
00:02:00,10.0,217,0,0.58,10.0,,,10.0,57.54545454545455,0.0
00:02:01,10.0,217,0,0.583,10.0,,,10.0,58.2,0.0
00:02:02,10.0,217,0,0.562,10.0,,,10.0,60.90909090909091,0.0
