TIMESTAMP,2013-12-24_17:50~COMMON_USAGE_LOGIN_TO_FORUM~MAIN~THROUGHPUT~TPS,2013-12-24_17:50~UN*X~PHYSICAL_MEMORY~RAM~USED,2013-12-24_17:50~UN*X~SWAP_SPACE~SWAP~USED,2013-12-24_17:50~COMMON_USAGE_LOGIN_TO_FORUM~MAIN~RUNNING~VALUE,2013-12-24_17:50~COMMON_USAGE_LOGIN_TO_FORUM~MAIN~COMPLETED~PER_SECOND,2013-12-24_17:50~COMMON_USAGE_LOGIN_TO_FORUM~MAIN~DISCARDED~PER_SECOND,2013-12-24_17:50~UN*X~MAIN~CPU~USAGE_(%),2013-12-24_17:50~COMMON_USAGE_LOGIN_TO_FORUM~MAIN~SENT~PER_SECOND,2013-12-24_17:50~COMMON_USAGE_LOGIN_TO_FORUM~MAIN~TIME_TAKEN~AVERAGE,2013-12-24_17:50~COMMON_USAGE_LOGIN_TO_FORUM~MAIN~QUEUED~VALUE
00:00:00,,171,0,,,,,,,
00:00:01,,171,0,5.5,0.0,,,11.0,715.0,0.0
00:00:02,7.0,171,0,10.81,7.0,,,10.0,943.5714285714286,0.009
00:00:03,25.0,171,0,10.571,25.0,,,10.0,734.6666666666666,0.004
00:00:04,10.0,171,0,0.573,10.0,,,10.0,57.2,0.0
00:00:05,10.0,184,0,0.604,10.0,,39.88235294,10.0,63.2,0.001
00:00:06,10.0,184,0,0.626,10.0,,,10.0,64.0,0.002
00:00:07,10.0,184,0,0.788,10.0,,,10.0,91.2,0.0
00:00:08,10.0,184,0,0.782,10.0,,,10.0,61.09090909090909,0.002
00:00:09,10.0,184,0,0.587,10.0,,,10.0,59.8,0.003
00:00:10,10.0,184,0,0.576,10.0,,45.30516432,10.0,55.81818181818182,0.005
00:00:11,10.0,184,0,0.573,10.0,,,10.0,61.3,0.001
00:00:12,10.0,184,0,0.619,10.0,,,10.0,58.45454545454545,0.003
00:00:13,10.0,184,0,0.592,10.0,,,10.0,55.81818181818182,0.104
00:00:14,10.0,184,0,0.562,10.0,,,10.0,57.0,0.002
00:00:15,10.0,184,0,0.57,10.0,,32.19315895,10.0,,0.001
00:00:16,10.0,185,0,0.569,10.0,,,10.0,56.81818181818182,0.003
00:00:17,10.0,185,0,0.636,10.0,,,10.0,63.4,0.003
00:00:18,10.0,185,0,0.614,10.0,,,10.0,61.18181818181818,0.001
00:00:19,10.0,185,0,0.613,10.0,,,10.0,60.36363636363637,0.001
00:00:20,10.0,185,0,0.592,10.0,,81.67539267,10.0,58.0,0.002
00:00:21,10.0,185,0,0.567,10.0,,,10.0,58.81818181818182,0.0
00:00:22,10.0,189,0,0.656,10.0,,,10.0,61.36363636363637,0.0
00:00:23,10.0,189,0,0.534,10.0,,,10.0,56.0,0.001
00:00:24,10.0,189,0,0.583,10.0,,,10.0,58.2,0.0
00:00:25,10.0,189,0,0.599,10.0,,39.0,10.0,58.90909090909091,0.001
00:00:26,10.0,189,0,0.577,10.0,,,10.0,61.5,0.001
00:00:27,10.0,189,0,0.605,10.0,,,10.0,54.36363636363637,0.0
00:00:28,9.0,189,0,1.421,9.0,,,10.0,156.75,0.001
00:00:29,11.0,189,0,0.899,11.0,,,10.0,56.2,0.001
00:00:30,10.0,189,0,0.561,10.0,,33.60995851,10.0,55.0,0.001
00:00:31,10.0,194,0,0.562,10.0,,,10.0,62.1,0.001
00:00:32,10.0,194,0,0.614,10.0,,,10.0,,0.0
00:00:33,10.0,194,0,0.57,10.0,,,10.0,56.09090909090909,0.001
00:00:34,10.0,194,0,0.576,10.0,,,10.0,57.3,0.0
00:00:35,10.0,194,0,0.546,10.0,,41.77897574,10.0,54.90909090909091,0.0
00:00:36,10.0,194,0,0.58,10.0,,,10.0,57.63636363636363,0.001
00:00:37,10.0,194,0,0.566,10.0,,,10.0,54.63636363636363,0.0
00:00:38,10.0,194,0,0.537,10.0,,,10.0,54.8,0.001
00:00:39,10.0,194,0,0.551,10.0,,,10.0,54.45454545454545,0.001
00:00:40,10.0,194,0,0.543,10.0,,32.70833333,10.0,57.27272727272727,0.002
00:00:41,10.0,194,0,0.603,10.0,,,10.0,56.4,0.001
00:00:42,10.0,199,0,0.529,10.0,,,10.0,54.36363636363637,0.0
00:00:43,10.0,199,0,0.545,10.0,,,10.0,54.1,0.002
00:00:44,10.0,199,0,0.558,10.0,,,10.0,59.36363636363637,0.002
00:00:45,10.0,199,0,0.6,10.0,,34.01826484,10.0,57.9,0.002
00:00:46,10.0,199,0,0.578,10.0,,,10.0,56.09090909090909,0.0
00:00:47,10.0,199,0,0.572,10.0,,,10.0,54.4,0.001
00:00:48,10.0,199,0,0.534,10.0,,,10.0,56.45454545454545,0.0
00:00:49,10.0,199,0,0.577,10.0,,,10.0,52.8,0.0
00:00:50,10.0,199,0,0.53,10.0,,32.0754717,10.0,,0.0
00:00:51,10.0,199,0,0.525,10.0,,,10.0,52.72727272727273,0.002
00:00:52,10.0,199,0,0.58,10.0,,,10.0,57.6,0.001
00:00:53,10.0,203,0,0.519,10.0,,,10.0,51.0,0.0
00:00:54,10.0,203,0,0.485,10.0,,,10.0,48.3,0.0
